Unnamed: 0,Country_Name,Country_Code,Region,Income_Group,Year,Internet_Users,GDP_Per_Capita,Electricity_Access,Electricity_Access_Rural,Electricity_Access_Urban,Broadband_Subscriptions,Life_Expectancy,Sec_Edu_Duration,Literacy_Female,Literacy_Male,Literacy_Total,Pop_0_14,Pop_15_64,Pop_65_Above,Pop_Female,Pop_Male,Pop_Total,Pop_Rural,Pop_Urban
0,Afghanistan,AFG,South Asia,Low income,2012,5.45455,1988.429303815544,69.1,60.8,95.0,0.00490837,61.923,6.0,77.35804398740224,85.47946143266631,81.37630601278165,47.6053053475006,50.0567833137882,2.33791133871121,49.4997714989453,50.5002285010547,30560034.0,75.84,24.16
1,Afghanistan,AFG,South Asia,Low income,2013,5.9,2133.241270986467,68.0,60.2,92.2,0.00474343,62.417,6.0,77.35804398740224,85.47946143266631,81.37630601278165,47.161386009242,50.4888449766978,2.34976901406028,49.4826501870302,50.5173498129698,31622704.0,75.627,24.373
2,Afghanistan,AFG,South Asia,Low income,2014,7.0,2224.490748152148,89.5,86.5,98.7,0.00457421,62.545,6.0,77.35804398740224,85.47946143266631,81.37630601278165,46.7130662681856,50.9303980666568,2.35653566515757,49.4681150334178,50.5318849665822,32792523.0,75.413,24.587
3,Afghanistan,AFG,South Asia,Low income,2015,8.26,2284.0758478934936,71.5,64.6,92.5,0.0208887,62.659,6.0,17.0862407684326,50.212100982666,33.7538414001465,46.2593370280565,51.3839679093288,2.35669506261475,49.4572024089551,50.5427975910449,33831764.0,75.197,24.803
4,Afghanistan,AFG,South Asia,Low income,2016,11.0,2213.181441047904,97.7,97.1,99.5,0.0253627,63.136,6.0,77.35804398740224,85.47946143266631,81.37630601278165,45.801448689147,51.843053949596,2.35549736125691,49.449550069908,50.550449930092,34700612.0,74.98,25.02
5,Afghanistan,AFG,South Asia,Low income,2017,13.5,2335.795862344538,97.7,97.1,99.5,0.0257279,63.016,6.0,77.35804398740224,85.47946143266631,81.37630601278165,45.3646045386981,52.2756584397329,2.35973702156897,49.4549248947888,50.5450751052112,35688935.0,74.75,25.25
6,Afghanistan,AFG,South Asia,Low income,2018,16.8,2432.276700833362,93.4,91.6,98.8,0.0435429,63.081,6.0,77.35804398740224,85.47946143266631,81.37630601278165,44.9596071789272,52.6732723441847,2.36712047688815,49.4744514736519,50.5255485263481,36743039.0,74.505,25.495
7,Afghanistan,AFG,South Asia,Low income,2019,17.6,2583.485332398769,97.7,97.1,99.5,0.0519942,63.565,6.0,77.35804398740224,85.47946143266631,81.37630601278165,44.5768321059625,53.0470145105464,2.37615338349114,49.4939087921871,50.5060912078129,37856121.0,74.246,25.754
8,Afghanistan,AFG,South Asia,Low income,2020,18.4,2561.9817605862195,97.7,97.1,99.5,0.0680079,62.575,6.0,77.35804398740224,85.47946143266631,81.37630601278165,44.2241042439322,53.4051619316696,2.37073382439812,49.5112221898607,50.4887778101394,39068979.0,73.974,26.026
9,Afghanistan,AFG,South Asia,Low income,2021,52.52970798049006,2144.166570028188,97.7,97.1,99.5,0.0664243,61.982,6.0,23.0,52.0,37.0,43.90812524631,53.7393252349501,2.35254951873996,49.5343797958881,50.4656202041119,40000412.0,73.686,26.314
