Internet_Users;GDP_Per_Capita;Electricity_Access;Electricity_Access_Rural;Electricity_Access_Urban;Broadband_Subscriptions;Life_Expectancy;Sec_Edu_Duration;Literacy_Female;Literacy_Male;Literacy_Total;Pop_0_14;Pop_15_64;Pop_65_Above;Pop_Female;Pop_Male;Pop_Total;Pop_Rural;Pop_Urban;clusters
-1.654.497.618.019.500;-0.844310315054973;-0.5788766172551547;-0.531456554927298;0.16144795912853552;-0.9788085163937549;-12.650.820.173.611.800;-0.45799446329325877;0.0;0.0;-1,40E+01;19.192.405.601.009.700;-2.129.323.183.055.520;-10.277.218.269.707.800;-0.12506070220170357;0.1250607022017036;-0.3059463235610864;15.056.242.737.816.800;-15.056.242.737.816.800;2
-16.388.418.880.004.500;-0.8377021603662343;-0.622251309412384;-0.5501425423101284;-0.03829103361726945;-0.9788209935303517;-1.199.826.140.733.920;-0.45799446329325877;0.0;0.0;-1,40E+01;1.876.020.957.008.960;-206.102.386.615.462;-10.257.697.851.935.600;-0.13071101760408355;0.13071101760408357;-0.3049637184733952;1.495.868.640.880.680;-14.958.686.408.806.800;2
-1.600.181.425.499.700;-0.8335382043606809;0.2255267645698308;0.2689265713039435;0.42538877097120686;-0.9788337944340433;-11.829.177.354.539.800;-0.45799446329325877;0.0;0.0;-1,40E+01;1.832.372.934.503.840;-19.912.241.662.307.800;-10.246.558.412.505.100;-0.13550785809968127;0.1355078580996813;-0.3038820373295991;14.860.672.068.862.600;-14.860.672.068.862.600;2
-15.558.976.229.988.500;-0.83081917799893;-0.4842409252757444;-0.41311196816937135;-0.01689042725164767;-0.9775996600807259;-11.678.586.870.015.400;-0.45799446329325877;-4.870.279.206.537.220;-4.318.190.289.848.090;-46.849.349.059.755.100;17.881.982.478.444.400;-19.195.248.855.940.100;-10.246.296.008.208.700;-0.13910920421076042;0.13910920421076042;-0.30292109602709005;14.761.741.707.049.600;-14.761.741.707.049.600;1
-1.459.597.925.496.990;-0.8340542780818471;0.5488653788328152;0.5990456817339495;0.4824570546128653;-0.9772612175614229;-11.048.484.579.505.100;-0.45799446329325877;0.0;0.0;-1,40E+01;17.436.186.349.225.100;-18.469.536.170.907.200;-10.248.267.695.759.900;-0.14163460234593045;0.14163460234593048;-0.3021177097780849;14.662.353.334.302.400;-1.466.235.333.430.240;2
-13.717.332.379.952.900;-0.8284590563689759;0.5488653788328152;0.5990456817339495;0.4824570546128653;-0.9772335914532314;-1.120.700.087.900.460;-0.45799446329325877;0.0;0.0;-1,40E+01;1.701.087.866.000.540;-1.778.568.491.306.500;-10.241.288.255.180.900;-0.13986082146046463;0.13986082146046463;-0.30120385015272405;14.557.010.819.409.000;-14.557.010.819.409.000;2
-12.557.518.504.930.500;-0.8240563794515299;0.37930976403637234;0.4277574640580029;0.4325223064264138;-0.9758859487439374;-11.121.137.883.442.400;-0.45799446329325877;0.0;0.0;-1,40E+01;16.616.576.730.937.100;-17.157.145.970.695.500;-10.229.133.416.379.100;-0.1334167282827314;0.1334167282827314;-0.30022916567555274;14.444.798.140.500.900;-1.444.479.814.050.090;2
-12.276.351.504.925.100;-0.8171563279766586;0.5488653788328152;0.5990456817339495;0.4824570546128653;-0.9752466373305748;-10.481.788.808.794.700;-0.45799446329325877;0.0;0.0;-1,40E+01;16.243.910.228.235.400;-16.566.342.924.489.900;-10.214.263.207.388.100;-0.12699549215587108;0.1269954921558711;-0.29919994678707607;14.326.173.308.512.300;-14.326.173.308.512.300;2
-11.995.184.504.919.700;-0.8181375930728645;0.5488653788328152;0.5990456817339495;0.4824570546128653;-0.9740352566932567;-11.789.548.279.664.900;-0.45799446329325877;0.0;0.0;-1,40E+01;15.900.497.430.400.400;-1.600.019.169.395.010;-10.223.185.028.446.800;-0.12128178528411962;0.12128178528415481;-0.2980784693374003;14.201.594.334.377.500;-14.201.594.334.377.500;2
-2,50E+00;-0.8372036099529027;0.5488653788328152;0.5990456817339495;0.4824570546128653;-0.9741550505183725;-12.572.882.993.024.600;-0.45799446329325877;-4.392.416.307.474.240;-4.099.277.162.316.870;-4.365.588.944.810.130;15.592.863.009.331.600;-15.471.954.006.910.000;-10.253.120.511.827.400;-0.11363939323684528;0.1136393932368453;-0.2972172134398559;14.069.687.185.293.600;-1.406.968.718.529.360;1
-2,50E+00;-0.8381696877294833;0.05991430360586315;0.11943867224129927;0.2256497782254019;-0.9731560701728958;-11.387.973.654.266.400;-0.45799446329325877;-4.101.795.351.539.270;0.0;-1,40E+01;15.273.248.728.585.000;-14.957.109.202.041.100;-10.248.852.096.583.400;-0.11145227054686019;0.1114522705468602;-0.2966823641819742;13.931.367.883.129.300;-13.931.367.883.129.300;1
-15.509.772.004.987.500;-0.7903204500420711;-20.546.639.466.547.400;-18.194.548.802.152.200;-1.863.384.690.057.560;-0.9525557891700903;-15.122.978.236.746.100;-0.45799446329325877;-12.703.255.172.709.000;-11.815.424.354.505.900;-12.620.178.952.573.900;15.047.776.643.358.200;-15.550.609.025.403.300;-0.9249533168493151;0.24648365570751435;-0.24648365570751438;0.18324331189757306;10.983.269.563.422.400;-10.983.269.563.422.400;1
-14.947.438.004.976.700;-0.784877659487585;-2.052.686.608.347.910;-18.402.519.531.980.000;-18.513.407.209.357.300;-0.944918684559477;-14.253.118.438.428.100;-0.45799446329325877;-11.920.484.964.592.800;-1.097.874.852.320.120;-11.800.709.417.966.400;14.860.556.576.934.800;-15.271.742.748.184.600;-0.9223378707271146;0.24119039739624018;-0.2411903973962402;0.19766124379537367;10.779.997.745.685.600;-10.779.997.745.685.600;2
-14.209.374.629.962.400;-0.7786838698311133;-204.683.565.593.544;-18.745.759.519.628.000;-19.073.070.102.201.100;-0.9386952871876961;-1.342.251.344.502.620;-0.45799446329325877;-11.197.431.570.717.000;-1.049.471.616.458.960;-11.156.884.458.919.800;14.663.413.482.058.700;-14.983.389.015.491.400;-0.9190325860444415;0.23521411561190478;-0.2352141156119048;0.21223965266230305;1.056.790.362.106.580;-10.567.903.621.065.800;2
-13.436.165.379.947.500;-0.7773244898941402;-1.965.988.402.655.760;-1.910.247.166.343.260;-18.362.670.792.896.500;-0.9413565587399821;-1.273.819.455.527.260;-0.45799446329325877;-10.693.459.018.141.300;-10.273.629.725.696.200;-1.075.178.811.344.730;14.439.406.746.628.000;-14.655.777.950.855.300;-0.9152732528024726;0.22672959114730643;-0.22672959114730645;0.2271768172885586;10.344.555.664.526.800;-10.344.555.664.526.800;2
-12.944.123.129.938.000;-0.7730029005249743;-17.713.022.011.450.600;-16.579.801.256.993.600;-17.032.942.224.593.500;-0.9413565587399821;-11.961.748.371.077.000;-0.45799446329325877;-0.997683875239852;-0.9778144628077494;-10.104.390.518.815.300;14.219.958.000.920.100;-14.337.402.254.375.000;-0.911322846791588;0.2229377242965317;-0.22293772429656455;0.24219891441984365;10.128.253.765.249.100;-10.128.253.765.249.100;2
-12.346.643.254.926.400;-0.7660294420556913;-171.751.180.557.146;-16.329.303.516.561.700;-1.575.999.497.954.400;-0.9413565587399821;-11.327.459.888.965.500;-0.45799446329325877;-0.9811864618390093;-10.222.755.650.139.000;-10.178.357.585.397.300;1.397.860.383.275.380;-1.399.271.479.589.740;-0.9064086116592073;0.22202616376943946;-0.22202616376943948;0.257630826861343;0.9909899304915927;-0.990989930491593;2
-11.503.142.254.910.200;-0.7685655086147973;-16.066.567.713.556.400;-15.821.718.412.737.000;-15.135.217.360.947.800;-0.9413565587399821;-10.743.292.150.015.600;-0.45799446329325877;-0.9281173160852041;-0.9904339612782326;-0.9720497315209357;136.910.015.416.136;-13.587.546.674.706.900;-0.8999728487322936;0.2182862383830596;-0.21828623838305963;0.274036406657486;0.9682218190892915;-0.9682218190892915;2
-10.448.766.004.889.800;-0.7642514865646454;-15.531.959.971.055.100;-1.517.009.042.036.130;-14.397.758.392.615.300;-0.9337919069898056;-10.231.132.048.107.900;-0.45799446329325877;-0.8152117560087965;-0.8785352830795422;-0.8576120591837868;13.410.565.238.270.300;-13.200.535.239.745.100;-0.8928579253149432;0.21552905519273632;-0.21552905519273635;0.290818099871218;0.945739236590467;-0.945739236590467;2
-0.9324098004868124;-0.7694235352128551;-14.786.108.317.951.800;-14.588.395.278.368.000;-13.327.283.846.582.400;-0.926227255239629;-10.818.908.716.753.500;-0.45799446329325877;-0.792353344421486;-0.8658550645409046;-0.8382222550429487;13.133.189.499.576.700;-12.805.542.697.341.000;-0.8870916618353777;0.2133201826841576;-0.21332018268415762;0.30792047055081134;0.9228495816529638;-0.9228495816529638;2
-0.8093992379844369;-0.7567174126533003;-14.058.659.489.064.600;-1.403.184.698.335.580;-12.307.952.905.887.100;-0.9186626034894524;-11.955.867.826.743.900;-0.45799446329325877;-0.8000478218749953;-0.9084357129443392;-0.8595552426985593;1.286.460.783.384.490;-12.408.035.326.565.200;-0.883074265796366;0.2114386990292267;-0.21143869902922674;0.3251605383535414;0.8995094338696472;-0.8995094338696472;2
-0.7426220754831474;-0.7420359970864124;-1.381.622.181.378.120;-137.354.737.976.238;-12.047.803.658.947.300;-0.9110979517392758;-11.375.473.020.602.200;-0.45799446329325877;-0.7580170239142516;-0.8895396277373501;-0.8258463751761709;12.604.745.697.136.700;-1.203.280.267.078.890;-0.8782115416282515;0.20889579864216987;-0.2088957986421699;0.342479790994363;0.8759044896031425;-0.8759044896031425;2
-1.484.200.037.997.460;-0.7645674279826876;-15.612.542.336.065.800;-18.271.930.374.932.400;-0.985428464070455;-0.9709823151350034;-21.420.813.059.244.300;0.6964170882424454;-2.788.182.798.667.930;-2.828.632.668.586.820;-28.335.598.696.543.100;15.868.190.803.276.500;-1.686.125.578.475.530;-0.9271843456362185;-0.02742872930889703;0.027428729308864204;0.022122215715864566;0.6447085608255474;-0.6447085608255474;1
-1.403.364.525.495.900;-0.7570964256370284;-14.426.440.588.412.300;-16.964.015.730.336.000;-0.9888027260847635;-0.971131012901796;-209.833.082.760.502;0.6964170882424454;-2.717.059.588.958.830;-2.729.499.217.022.170;-27.500.735.305.663.700;15.830.400.711.638.700;-16.786.586.562.789.200;-0.9285705707868205;-0.037165431657522854;0.03716543165752286;0.031988172932820504;0.6158028018912843;-0.6158028018912843;1
-1.322.529.012.994.340;-0.7477819012711419;-14.200.554.074.443.700;-17.250.198.790.772.800;-0.9172577554603932;-0.9691218593606179;-20.655.015.106.961.900;0.6964170882424454;-26.409.831.480.102.200;-26.697.058.305.317.400;-26.793.023.216.150.500;15.780.638.848.591.300;-16.680.685.248.784.000;-0.931185032984337;-0.044303666580513684;0.04430366658051369;0.042124113304202786;0.586933186530177;-0.586933186530177;1
-12.416.935.004.927.800;-0.7501106181641349;-14.557.386.741.821.600;-1.714.267.509.846.270;-10.283.997.990.367.600;-0.9716151657406885;-2.029.622.670.737.870;0.6964170882424454;-25.596.187.188.910.000;-25.821.311.445.548.200;-2.594.159.510.523.590;15.708.633.557.596.600;-16.541.549.995.745.900;-0.9334993911413976;-0.049088545561470354;0.04908854556147036;0.05242090513073539;0.558040894940555;-0.558040894940555;1
-11.467.996.379.909.500;-0.7526600931785206;-12.908.080.263.087.400;-15.706.522.388.953.400;-0.7920736663422124;-0.9640505139905119;-19.790.545.487.313.700;0.6964170882424454;-2.504.763.278.095.010;-25.539.645.061.743.100;-25.489.889.375.342.000;15.576.697.904.260.700;-16.316.177.958.363.300;-0.9346609695745635;-0.05433032482212125;0.05433032482212126;0.0628943988800265;0.5294266281801053;-0.5294266281801053;1
-1.030.818.250.488.710;-0.7496336997252595;-13.753.649.833.820.600;-1.711.723.435.768.460;-0.7244555273047016;-0.9640505139905119;-19.382.962.304.475.200;0.6964170882424454;-2.422.733.650.580.430;-2.433.004.525.498.480;-24.499.807.727.694.500;15.390.497.846.141.300;-16.009.317.075.625.100;-0.935133361932156;-0.05935066932026585;0.059350669320265864;0.07346152800455645;0.501016835936894;-0.501016835936894;1
-0.942953562987016;-0.7434780373014399;-12.793.451.929.789.600;-1.545.503.993.173.560;-0.8879430263023724;-0.9640505139905119;-18.982.611.897.336.200;0.6964170882424454;-21.260.628.724.460.600;-20.816.324.376.169.400;-21.277.827.075.653.900;1.516.345.492.911.640;-15.644.389.292.254.500;-0.934746821937172;-0.06399331828999126;0.06399331828999126;0.08392217919495068;0.47282094733985425;-0.47282094733985425;1
-0.8304867629848441;-0.7317926550899355;-12.810.901.347.713.900;-16.041.904.948.765.700;-0.713731943373621;-0.9564858622403353;-1.849.307.730.648.240;0.6964170882424454;-21.257.857.578.226.000;-21.300.403.442.525.700;-2.146.836.263.651.140;14.896.194.488.896.500;-15.222.301.575.354.300;-0.9335126345195065;-0.06797021806241826;0.06797021806241828;0.09425014675161267;0.4447510720582916;-0.4447510720582916;1
-0.7074762004824686;-0.732350226826081;-1.258.832.374.631.420;-16.544.128.227.791.100;-0.6667272606661553;-0.9489212104901587;-18.915.290.911.964.600;0.6964170882424454;-2.106.424.107.401.570;-2.123.180.844.861.880;-2.132.122.033.749.490;14.581.820.082.970.700;-14.721.854.895.207.000;-0.9324723676859465;-0.07101536371057067;0.0710153637106035;0.10460992990093962;0.4168855219318936;-0.4168855219318936;1
-0.6406990379811791;-0.7206231108098116;-11.597.584.318.604.700;-16.182.206.258.040.900;-0.43188788888814;-0.9489212104901587;-19.224.656.489.770.800;0.6964170882424454;-207.890.345.034.176;-2.090.808.641.146.110;-2.102.207.590.429.090;14.232.863.128.681.900;-14.167.107.646.353.800;-0.9312394849960978;-0.07391152390508349;0.0739115239050835;0.11510630705778922;0.38936135018670215;-0.38936135018670215;1
-0.5493197629794144;-0.7019891961894223;-11.116.397.583.189.800;-1.635.260.655.856.580;-0.423831085995195;-0.9489212104901587;-1.837.575.993.656.950;0.6964170882424454;-205.271.750.553.953;-20.612.407.704.237.900;-20.743.147.634.845.200;1.386.264.524.264.540;-13.590.975.341.107.500;-0.9286386801252466;-0.07577677657031996;0.07577677657031998;0.12570859163550221;0.3619797651999608;-0.3619797651999608;1
-0.10999632547093054;-0.454730949508039;0.6356147631472745;0.686246956187159;0.5109911964336951;-0.563025630758401;0.8670943078223077;0.6964170882424454;1.506.368.249.967.360;1.533.034.153.258.510;15.370.054.850.453.600;-0.7399509164600908;0.7384936627194651;0.4820986709698346;0.20988482250495258;-0.2098848225049526;-0.33152199249826464;0.12380528494122392;-0.12380528494122392;3
-0.02564622546930167;-0.452691293095403;0.6356147631472745;0.683132624956687;0.5109911964336951;-0.5042225668435784;0.8748880258810309;0.6964170882424454;0.0;0.0;-1,40E+01;-0.7884253418906753;0.7680655479999774;0.5332668607073523;0.21066813126871287;-0.21066813126868006;-0.3315269015014458;0.07539352918370429;-0.07539352918370429;3
0.062218462032395117;-0.421294316931159;0.6395579169797497;0.686246956187159;0.518124731888902;-0.43740626732979365;0.9124035500958934;0.6964170882424454;0.0;0.0;-1,40E+01;-0.8281142400969289;0.7777115384356543;0.5903306677606877;0.2105802556372048;-0.21058025563720484;-0.33153243834662366;0.027943596388254614;-0.027943596388254614;3
0.15359773703415983;-0.4030600337309336;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.34535428957741987;0.9437105192470308;0.6964170882424454;0.0;0.0;-1,40E+01;-0.8663705702403692;0.7803361006023952;0.6522843119792577;0.20985672942759726;-0.20985672942759728;-0.33154020638876436;-0.018361309071397266;0.018361309071397266;3
0.24849159953599245;-0.3838804880761971;0.6356147631472745;0.6800182937262155;0.518124731888902;-0.28381887345043355;0.9722434531569262;0.6964170882424454;0.0;0.0;-1,40E+01;-0.9040800045904405;0.7819512433145461;0.7143644336129612;0.20855780739045995;-0.20855780739045998;-0.3315444616595573;-0.0635669882886838;0.0635669882886838;3
0.3469000495378928;-0.35232944176564407;0.6356147631472745;0.6800182937262155;0.518124731888902;-0.18672959409761725;0.996945576495586;0.6964170882424454;17.527.468.852.875.500;16.030.705.481.676.800;17.156.800.458.704.700;-0.9355190652268988;0.772109245493743;0.7777736076800812;0.20717516459890117;-0.2071751645989012;-0.33154690645225104;-0.10762764017017289;0.10762764017017289;3
0.4523376745399291;-0.3100666939697799;0.6395579169797497;0.6893612874176306;0.518124731888902;-0.03315959891728246;10.150.428.540.217.700;0.6964170882424454;0.0;0.0;-1,40E+01;-0.962593654415621;0.7474426660457678;0.8492413506868292;0.20586752603635106;-0.20586752603635108;-0.33155345394735863;-0.15049746362243238;0.15049746362243238;3
0.5630612391420671;-0.26006151740377215;0.6395579169797497;0.6893612874176306;0.518124731888902;0.16454257457358243;1.027.988.351.814.220;0.6964170882424454;0.0;0.0;-1,40E+01;-0.9880019238814509;0.7083022854576839;0.9329646100674901;0.20401256151053315;-0.20401256151053318;-0.3315647208909945;-0.1921764586454623;0.1921764586454623;0
0.6926546240320699;-0.2728521247929313;0.6395579169797497;0.6893612874176306;0.518124731888902;0.36134455450617625;0.7250901228540757;0.6964170882424454;0.0;0.0;-1,40E+01;-1.009.646.394.231.760;0.66141802060796;10.183.882.421.607.600;0.20744695995381038;-0.2074469599538104;-0.33157983163312804;-0.23261882414583113;0.23261882414583113;0
0.9416982942868792;-0.1887798989876049;0.6395579169797497;0.6893612874176306;0.518124731888902;0.5057915796757981;0.655607144906827;0.6964170882424454;0.0;0.0;-1,40E+01;-1.024.692.680.667.790;0.6069671274220102;11.005.350.468.912.600;0.215625740423289;-0.21562574042328903;-0.33160404192325665;-0.2718703612169704;0.2718703612169704;0
1.057.328.223.039.110;-0.04079723036806134;0.6395579169797497;0.6893612874176306;0.518124731888902;0.5866198836264346;0.7044830039191499;0.6964170882424454;16.922.206.127.588.300;16.187.428.648.335.700;1.684.570.345.791.740;-10.388.058.211.031.600;0.5492097225245881;11.845.474.255.257.500;0.22135878233255604;-0.22135878233255607;-0.3316354589888222;-0.3098852687654483;0.3098852687654483;0
