Country_Name,Country_Code,Region,Income_Group,Year,Internet_Users,GDP_Per_Capita,Electricity_Access,Electricity_Access_Rural,Electricity_Access_Urban,Broadband_Subscriptions,Life_Expectancy,Sec_Edu_Duration,Literacy_Female,Literacy_Male,Literacy_Total,Pop_0_14,Pop_15_64,Pop_65_Above,Pop_Female,Pop_Male,Pop_Total,Pop_Rural,Pop_Urban,Secondary_Education,clusters
Afghanistan,AFG,South Asia,Low income,2012,5.45455,1988.429303815544,69.1,60.8,95.0,0.490837,61923.0,6,7735804398740220.0,8547946143266630.0,,476053053.475006,500567833.137882,233791133.871121,494997714.989453,505002285.010547,30.560034,7.584e-05,24.16,6.0,0
Afghanistan,AFG,South Asia,Low income,2013,5.9,2133.241270986467,68.0,60.2,92.2,0.474343,62417.0,6,7735804398740220.0,8547946143266630.0,,47161386.009242,504888449.766978,234976901.406028,494826501.870302,505173498.129698,31.622704,0.075627,24373.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2014,7.0,2224.490748152147,89.5,86.5,98.7,0.457421,62545.0,6,7735804398740220.0,8547946143266630.0,,467130662.681856,509303980.666568,235653566.515757,494681150.334178,505318849.665822,32.792523,0.075413,24587.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2015,8.26,2284.075847893494,71.5,64.6,92.5,2.08887,62659.0,6,170862407684326.0,50212100982666.0,33.7538414001465,462593370.280565,513839679.093288,235669506.261475,494572024.089551,505427975.910449,33.831764,0.075197,24803.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2016,11.0,2213.181441047904,97.7,97.1,99.5,2.53627,63136.0,6,7735804398740220.0,8547946143266630.0,,45801448.689147,51843053.949596,235549736.125691,49449550.069908,50550449.930092,34.700612,7.498e-05,,6.0,0
Afghanistan,AFG,South Asia,Low income,2017,13.5,2335.795862344538,97.7,97.1,99.5,2.57279,63016.0,6,7735804398740220.0,8547946143266630.0,,453646045.386981,522756584.397329,235973702.156897,494549248.947888,505450751.052112,35.688935,7.475e-05,25.25,6.0,0
Afghanistan,AFG,South Asia,Low income,2018,16.8,2432.276700833362,93.4,91.6,98.8,4.354290000000001,63081.0,6,7735804398740220.0,8547946143266630.0,,449596071.789272,526732723.441847,236712047.688815,494744514.736519,505255485.263481,36.743039,0.074505,25495.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2019,17.6,2583.485332398769,97.7,97.1,99.5,5.19942,63565.0,6,7735804398740220.0,8547946143266630.0,,445768321.059625,530470145.105464,237615338.349114,494939087.921871,505060912.078129,37.856121,0.074246,25754.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2020,18.4,2561.981760586219,97.7,97.1,99.5,6.800789999999999,62575.0,6,7735804398740220.0,8547946143266630.0,,442241042.439322,534051619.316696,237073382.439812,495112221.898607,504887778.101394,39.068979,0.073974,26026.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2021,55.134117838009566,2144.166570028188,97.7,97.1,99.5,6.642430000000001,61982.0,6,23.0,52.0,37.0,4390812.524631,537393252.349501,235254951.873996,495343797.958881,504656202.041119,40.000412,0.073686,26314.0,6.0,0
Afghanistan,AFG,South Asia,Low income,2022,55.134117838009566,2122.995815126647,85.3,81.7,95.9,7.96302,62879.0,6,265965595245361.0,8547946143266630.0,,435798414.355935,540650161.973572,235514236.704931,495410071.090742,504589928.909258,40.578842,0.073384,26616.0,6.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2012,49.4,10525.72253488832,99.9,99.9,99.9,550.13,78064.0,7,96.0,98.0,97.0,202920855.091608,68198600.414295,115093140.765442,505147071.962788,494852928.037212,2.900401,4.567e-05,54.33,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2013,51.8,10570.41983260291,99.9,99.8,99.9,627.864,78123.0,7,7735804398740220.0,8547946143266630.0,,19794192.578173,683856722.403311,118201351.814959,505170807.405352,494829192.594649,2.895092,0.044613,55387.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2014,54.3,11258.45727962437,100.0,99.9,100.0,716.191,78407.0,7,7735804398740220.0,8547946143266630.0,,193865379.916553,684466928.018412,121667692.065035,505168144.640551,494831855.359449,2.889104,0.043577,56423.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2015,56.9,11658.04574940947,100.0,100.0,100.0,837.878,78644.0,7,7735804398740220.0,8547946143266630.0,,189935976.695213,684632957.891861,125431065.412926,505146220.699972,494853779.300028,2.880703,0.042566,57434.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2016,59.6,12078.34882440256,99.9,99.7,100.0,919.224,78.86,7,7735804398740220.0,8547946143266630.0,,186062746.506784,68473513.186339,129202121.629827,505106861.393867,494893138.606133,2.876101,0.041579,58421.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2017,62.4,12769.76258478535,99.9,99.7,100.0,1047.57,79047.0,7,990490417480469.0,985719985961914.0,98.8162307739258,182833562.063906,68411252.681582,133053911.120274,505064965.222033,494935034.777967,2.873457,0.040617,59383.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2018,65.4,13695.91397418869,100.0,100.0,100.0,1250.58,79184.0,7,7735804398740220.0,8547946143266630.0,,180052663.384505,682552118.334715,13739521.828078,505025341.791999,494974658.208001,2.866376,0.039681,60319.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2019,68.5504,14791.73396151332,100.0,100.0,100.0,1511.93,79282.0,7,7735804398740220.0,8547946143266630.0,,177442916.565786,680076096.803147,142480986.631067,504969133.555863,495030866.444137,2.854191,0.038771,61229.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2020,72.2377,14511.43891628813,100.0,100.0,100.0,1772.09,76989.0,7,7735804398740220.0,8547946143266630.0,,175219758.955011,677110196.944345,147670044.100644,505073201.033164,494926798.966836,2.837849,0.037888,62112.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2021,79.3237,16353.80868164103,100.0,100.0,100.0,1963.04,76463.0,7,7735804398740220.0,8547946143266630.0,,173674317.294264,673665631.972931,152660050.732804,505321030.475471,494678969.524529,2.811666,0.037031,62969.0,7.0,0
Albania,ALB,Europe & Central Asia,Upper middle income,2022,82.6137,19596.72025974285,100.0,100.0,100.0,2069.89,76833.0,7,983000030517578.0,986999969482422.0,98.5,172224721.389952,670011896.981477,157763381.628571,505494750.333144,494505249.666856,2.777689,0.036201,63799.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2012,18.2,14441.32933988057,98.8,97.7,99.3,306.737,74202.0,7,7735804398740220.0,8547946143266630.0,,277156085.429789,673421404.984508,494225095.857039,487669527.887647,512330472.112353,37.646166,0.031085,68915.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2013,22.5,14370.82066167404,99.2,97.8,99.8,333.21,74615.0,7,7735804398740220.0,8547946143266630.0,,280774960.876092,669223817.569513,500012215.543943,487891721.000565,512108278.999435,38.414171,0.030424,69576.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2014,29.5,14694.14382738305,99.3,97.9,99.9,408.032,75.11,7,7735804398740220.0,8547946143266630.0,,285548763.952626,663589408.507156,508618275.402183,488117570.628055,511882429.371946,39.205031,0.029779,70221.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2015,38.2,13807.35158414777,99.4,98.1,99.9,567.0600000000001,75622.0,7,7735804398740220.0,8547946143266630.0,,290409389.875628,657623256.885407,519673532.389649,488340180.115563,511659819.884437,40.019529,0.029152,70848.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2016,42.9455,13437.84602321692,99.4,98.3,99.9,700.004,75732.0,7,7735804398740220.0,8547946143266630.0,,295001353.831674,651739647.385905,532589987.824205,488523984.680711,511476015.319289,40.850721,0.028541,71459.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2017,47.6911,13493.56074948397,99.5,98.6,99.9,770.0459999999999,75743.0,7,7735804398740220.0,8547946143266630.0,,299456114.625482,64587146.212269,546724232.518278,48868817.658248,51131182.341752,41.689299,0.027948,72052.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,49.0385,13727.12663578589,99.6,98.9,99.9,721.567,76066.0,7,753229675292969.0,874229583740234.0,81.4078369140625,303410419.495008,640409495.016296,561800854.886956,488888857.520056,511111142.479944,42.505035,0.027371,72629.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2019,58.9776,13892.53334462047,99.5,98.7,99.8,827.527,76474.0,7,742101974487305.0,8547946143266630.0,,306392172.353534,635858047.801217,577497798.452489,489109032.096307,510890967.903693,43.294546,0.026811,73189.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2020,60.6534,12676.5130564294,99.7,99.1,99.9,860.6450000000001,74453.0,7,7735804398740220.0,8547946143266630.0,,308424615.897551,632634495.033399,589408890.690499,489344772.481397,510655227.518603,44.042091,0.026267,73733.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2021,66.2356,14496.86546972987,99.8,99.3,100.0,933.184,76377.0,7,7735804398740220.0,8547946143266630.0,,309168972.817222,630690613.740293,60140413.442485,489547207.051373,510452792.948627,44.761099,0.025739,74261.0,7.0,0
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,71.2432,15836.09443688708,100.0,99.3,100.0,1035.17,77129.0,7,7735804398740220.0,8547946143266630.0,,308411919.729913,629718445.030799,618696352.392874,489705213.953571,510294786.046429,45.477389,0.025228,74772.0,7.0,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,21.3623,7990.27445672775,32.0,7786486932819900.0,51.0,32.3076,60.04,6,53.0,80.0,66.0,452258854.448141,520696201.188262,270449443.635977,506300115.939276,493699884.060724,27.160769,0.037269,62731.0,6.0,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,22.0,7119.726442744006,42.0,,64.0,54.53940000000001,60655.0,6,519259796142578.0,837727737426758.0,66.2358627319336,452743037.648043,520344151.201028,269128111.509288,506168220.037369,493831779.962631,28.157798,0.036554,63446.0,6.0,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,29.0,7347.799936350519,45.3,,65.3,35.0067,62144.0,6,7735804398740220.0,8547946143266630.0,,451972407.715653,5210972.051613,269303871.230468,50577643.577432,49422356.422568,31.297155,0.034486,65514.0,6.0,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,39.2935,7924.888805839047,48.5,7786486932819900.0,76.2,38.6698,61929.0,6,62.5,828000030517578.0,72.4000015258789,447578771.438631,524687842.964853,277333855.965152,505362644.867292,494637355.132708,35.635029,0.031919,68081.0,6.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2012,58.0,22377.36191219485,100.0,100.0,100.0,1497.82,77.35,5,7735804398740220.0,8547946143266630.0,,226426770.570708,698922759.569104,746504698.601879,525796470.318588,474203529.681412,0.08726,0.074474,25526.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2013,63.4,21759.36802398715,100.0,100.0,100.0,1776.78,77583.0,5,7735804398740220.0,8547946143266630.0,,221150406.804104,702382912.524343,764666806.715532,525611764.037927,474388235.962073,0.088064,7.465000000000001e-05,25.35,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2014,67.78,21673.39495883484,100.0,100.0,100.0,1211.51,77858.0,5,7735804398740220.0,8547946143266630.0,,216526784.205486,704962541.542275,785106742.522391,52544358.699938,47455641.300062,0.088765,0.074825,25175.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2015,70.0,20989.38588963067,100.0,100.0,100.0,1118.46,77913.0,5,7735804398740220.0,8547946143266630.0,,211583845.026787,707305752.217338,811104027.558747,525293874.218479,474706125.781521,0.089409,7.5e-05,25.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2016,73.0,21321.7097579145,100.0,100.0,100.0,1029.35,78152.0,5,7735804398740220.0,8547946143266630.0,,206426658.071113,709122030.921762,844513110.071247,525158665.762652,474841334.237348,0.089969,0.075154,24846.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2017,76.2,21370.30950916238,100.0,100.0,100.0,994.8270000000001,78268.0,5,7735804398740220.0,8547946143266630.0,,202049343.414246,709963744.086307,879869124.994473,525031226.856202,474968773.143798,0.090468,0.075287,24713.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2019,83.2,26533.73019369617,100.0,100.0,100.0,875.618,78691.0,5,7735804398740220.0,8547946143266630.0,,194070936.424283,711197578.901859,947314846.738577,524714329.495206,475285670.504794,0.091364,0.075494,24506.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2020,86.8837,22356.76872248486,100.0,100.0,100.0,871.0229999999999,78841.0,5,7735804398740220.0,8547946143266630.0,,191053502.602182,710314003.876053,986324935.217647,524557678.697806,475442321.302194,0.091846,0.075567,24433.0,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2021,87.074,25733.29482696443,100.0,100.0,100.0,866.2789999999999,78497.0,5,7735804398740220.0,8547946143266630.0,,188437340.956589,70877324.064148,102789418.401932,524418503.919955,475581496.080045,0.092349,7.562000000000001e-05,24.38,5.0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,91.4123,30031.74746987432,100.0,100.0,100.0,1068.18,79236.0,5,7735804398740220.0,8547946143266630.0,,185733520.034468,706979750.107712,10728672.985782,524235243.429556,475764756.570444,0.09284,0.075654,24346.0,5.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,55.8,19430.41780681118,99.1,96.1,99.4,1221.15,76467.0,6,7735804398740220.0,8547946143266630.0,,253153574.386188,640423079.024418,106423346.589394,505371175.304462,494628824.695538,42.161721,0.008879,91121.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,59.9,19928.98949016702,99.3,95.4,99.7,1467.98,76491.0,6,7735804398740220.0,8547946143266630.0,,251502863.661773,640825562.537135,107671573.801093,50506882.458823,494931175.411771,42.582455,0.008751,91249.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,64.7,19487.41817488681,100.0,100.0,100.0,1515.3,76755.0,6,7735804398740220.0,8547946143266630.0,,250138297.580693,640920281.103568,10894142.131574,504795803.614312,495204196.385688,43.024071,0.008623,91377.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,68.0431,19899.14992752454,99.7,97.6,99.9,1576.89,76.76,6,7735804398740220.0,8547946143266630.0,,24887393.365487,640810849.650845,110315216.694284,504618624.665375,495381375.334625,43.477012,0.008497,91503.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,70.969,20105.76135979602,99.9,99.3,100.0,1651.85,76308.0,6,7735804398740220.0,8547946143266630.0,,247475897.865741,640835958.950498,111688143.183761,504493179.707097,495506820.292903,43.900313,0.008373,91627.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,74.2949,23385.07409049166,100.0,100.0,100.0,1770.82,76833.0,6,7735804398740220.0,8547946143266630.0,,245791315.086803,641137437.299744,113071247.613454,50431923.181464,49568076.818536,44.288894,0.008251,91749.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,77.7,24410.39190633349,100.0,99.9,100.0,1897.59,76999.0,6,7735804398740220.0,8547946143266630.0,,243732916.411389,641630568.429568,114636515.159043,504135158.167029,495864841.832971,44.654882,,91.87,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2019,79.947,23516.82619808864,100.0,100.0,100.0,1955.19,77284.0,6,7735804398740220.0,8547946143266630.0,,240972913.239252,642701694.847154,116325391.913594,503980547.107488,496019452.892512,44.973465,0.008009,91991.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2020,85.5144,22393.34795753534,100.0,100.0,100.0,2117.98,75892.0,6,7735804398740220.0,8547946143266630.0,,236990914.612707,645074745.533578,117934339.853714,50390551.736145,496094482.638551,45.191965,0.007889,92111.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2021,87.1507,26300.27426117504,100.0,100.0,100.0,2315.0,75.39,6,7735804398740220.0,8547946143266630.0,,232387470.933239,648426321.239199,119186207.827562,503928857.609265,496071142.390735,45.312281,0.007771,92229.0,6.0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,88.3754,29597.69384292644,100.0,100.0,100.0,2468.32,76064.0,6,7735804398740220.0,8547946143266630.0,,227507462.136988,652151737.723899,120340800.139112,50389410.178457,49610589.821543,45.407904,765300000.000001,92347.0,6.0,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2012,37.5,8942.635378971643,99.5,99.2,99.7,725.581,73454.0,8,7735804398740220.0,8547946143266630.0,,194619041.223735,69877939.557455,106601563.201715,541020493.566013,458979506.433987,3.0241,3.676e-05,63.24,8.0,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2013,41.9,9454.878528365565,99.4,99.4,99.4,831.673,73676.0,8,7735804398740220.0,8547946143266630.0,,196515983.819432,696400159.040937,107083857.139631,540660143.068409,459339856.931591,3.022,0.036836,63164.0,8.0,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2014,54.6228,9736.234974627896,99.7,99.8,99.7,933.763,74058.0,8,7735804398740220.0,8547946143266630.0,,198849276.387873,693383433.330299,107767290.281828,540299108.068581,459700891.931419,3.0138,0.036888,63112.0,8.0,0
Armenia,ARM,Europe & Central Asia,Upper middle income,2015,59.1008,9756.84084836026,100.0,100.0,100.0,980.1489999999999,74436.0,8,7735804398740220.0,8547946143266630.0,,201142347.563611,68961951.131008,10923814.112631,539965568.673175,460034431.326825,3.0046,0.036915,63085.0,8.0,0
