Country_Name;Country_Code;Region;Income_Group;Year;Internet_Users;GDP_Per_Capita;Electricity_Access;Electricity_Access_Rural;Electricity_Access_Urban;Broadband_Subscriptions;Life_Expectancy;Sec_Edu_Duration;Literacy_Female;Literacy_Male;Literacy_Total;Pop_0_14;Pop_15_64;Pop_65_Above;Pop_Female;Pop_Male;Pop_Total;Pop_Rural;Pop_Urban;Secondary_Education
Afghanistan;AFG;South Asia;Low income;2012;5,45455;1988,429304;69.1;60.8;95.0;0,490837;61923;6;7,7358E+15;8,54795E+15;;476053053,5;500567833,1;233791133,9;494997715;505002285;30,560034;0,00007584;24,16;6
Afghanistan;AFG;South Asia;Low income;2013;5,9;2133,241271;68.0;60.2;92.2;0,474343;62417;6;7,7358E+15;8,54795E+15;;47161386,01;504888449,8;234976901,4;494826501,9;505173498,1;31,622704;0,075627;24373;6
Afghanistan;AFG;South Asia;Low income;2014;7;2224,490748;89.5;86.5;98.7;0,457421;62545;6;7,7358E+15;8,54795E+15;;467130662,7;509303980,7;235653566,5;494681150,3;505318849,7;32,792523;0,075413;24587;6
Afghanistan;AFG;South Asia;Low income;2015;8,26;2284,075848;71.5;64.6;92.5;2,08887;62659;6;1,70862E+14;5,02121E+13;33,7538414;462593370,3;513839679,1;235669506,3;494572024,1;505427975,9;33,831764;0,075197;24803;6
Afghanistan;AFG;South Asia;Low income;2016;11;2213,181441;97.7;97.1;99.5;2,53627;63136;6;7,7358E+15;8,54795E+15;;45801448,69;51843053,95;235549736,1;49449550,07;50550449,93;34,700612;0,00007498;;6
Afghanistan;AFG;South Asia;Low income;2017;13,5;2335,795862;97.7;97.1;99.5;2,57279;63016;6;7,7358E+15;8,54795E+15;;453646045,4;522756584,4;235973702,2;494549248,9;505450751,1;35,688935;0,00007475;25,25;6
Afghanistan;AFG;South Asia;Low income;2018;16,8;2432,276701;93.4;91.6;98.8;4,35429;63081;6;7,7358E+15;8,54795E+15;;449596071,8;526732723,4;236712047,7;494744514,7;505255485,3;36,743039;0,074505;25495;6
Afghanistan;AFG;South Asia;Low income;2019;17,6;2583,485332;97.7;97.1;99.5;5,19942;63565;6;7,7358E+15;8,54795E+15;;445768321,1;530470145,1;237615338,3;494939087,9;505060912,1;37,856121;0,074246;25754;6
Afghanistan;AFG;South Asia;Low income;2020;18,4;2561,981761;97.7;97.1;99.5;6,80079;62575;6;7,7358E+15;8,54795E+15;;442241042,4;534051619,3;237073382,4;495112221,9;504887778,1;39,068979;0,073974;26026;6
Afghanistan;AFG;South Asia;Low income;2021;;2144,16657;97.7;97.1;99.5;6,64243;61982;6;23;52;37;4390812,525;537393252,3;235254951,9;495343798;504656202;40,000412;0,073686;26314;6
Afghanistan;AFG;South Asia;Low income;2022;;2122,995815;85.3;81.7;95.9;7,96302;62879;6;2,65966E+14;8,54795E+15;;435798414,4;540650162;235514236,7;495410071,1;504589928,9;40,578842;0,073384;26616;6
Albania;ALB;Europe & Central Asia;Upper middle income;2012;49,4;10525,72253;99.9;99.9;99.9;550,13;78064;7;96;98;97;202920855,1;68198600,41;115093140,8;505147072;494852928;2,900401;0,00004567;54,33;7
Albania;ALB;Europe & Central Asia;Upper middle income;2013;51,8;10570,41983;99.9;99.8;99.9;627,864;78123;7;7,7358E+15;8,54795E+15;;19794192,58;683856722,4;118201351,8;505170807,4;494829192,6;2,895092;0,044613;55387;7
Albania;ALB;Europe & Central Asia;Upper middle income;2014;54,3;11258,45728;100.0;99.9;100.0;716,191;78407;7;7,7358E+15;8,54795E+15;;193865379,9;684466928;121667692,1;505168144,6;494831855,4;2,889104;0,043577;56423;7
Albania;ALB;Europe & Central Asia;Upper middle income;2015;56,9;11658,04575;100.0;100.0;100.0;837,878;78644;7;7,7358E+15;8,54795E+15;;189935976,7;684632957,9;125431065,4;505146220,7;494853779,3;2,880703;0,042566;57434;7
Albania;ALB;Europe & Central Asia;Upper middle income;2016;59,6;12078,34882;99.9;99.7;100.0;919,224;78,86;7;7,7358E+15;8,54795E+15;;186062746,5;68473513,19;129202121,6;505106861,4;494893138,6;2,876101;0,041579;58421;7
Albania;ALB;Europe & Central Asia;Upper middle income;2017;62,4;12769,76258;99.9;99.7;100.0;1047,57;79047;7;9,9049E+14;9,8572E+14;98,81623077;182833562,1;68411252,68;133053911,1;505064965,2;494935034,8;2,873457;0,040617;59383;7
Albania;ALB;Europe & Central Asia;Upper middle income;2018;65,4;13695,91397;100.0;100.0;100.0;1250,58;79184;7;7,7358E+15;8,54795E+15;;180052663,4;682552118,3;13739521,83;505025341,8;494974658,2;2,866376;0,039681;60319;7
Albania;ALB;Europe & Central Asia;Upper middle income;2019;68,5504;14791,73396;100.0;100.0;100.0;1511,93;79282;7;7,7358E+15;8,54795E+15;;177442916,6;680076096,8;142480986,6;504969133,6;495030866,4;2,854191;0,038771;61229;7
Albania;ALB;Europe & Central Asia;Upper middle income;2020;72,2377;14511,43892;100.0;100.0;100.0;1772,09;76989;7;7,7358E+15;8,54795E+15;;175219759;677110196,9;147670044,1;505073201;494926799;2,837849;0,037888;62112;7
Albania;ALB;Europe & Central Asia;Upper middle income;2021;79,3237;16353,80868;100.0;100.0;100.0;1963,04;76463;7;7,7358E+15;8,54795E+15;;173674317,3;673665632;152660050,7;505321030,5;494678969,5;2,811666;0,037031;62969;7
